company_id,company_name,industry,size,战略与愿景_current,战略与愿景_target,战略与愿景_gap,数据基础_current,数据基础_target,数据基础_gap,技术能力_current,技术能力_target,技术能力_gap,人才与组织_current,人才与组织_target,人才与组织_gap,治理与伦理_current,治理与伦理_target,治理与伦理_gap,文化与创新_current,文化与创新_target,文化与创新_gap,overall_score,maturity_level
ENT-000,企业AA,医疗,小型(<1000人),3.03,3.93,0.9,2.43,3.37,0.93,2.17,3.3,1.13,4.23,4.8,0.57,2.53,3.63,1.1,2.73,3.93,1.2,2.84,L3 探索者
ENT-001,企业AB,制造,中型(1000-10000人),2.7,3.7,1.0,2.27,3.57,1.3,3.33,4.6,1.27,1.9,3.13,1.23,3.13,4.37,1.23,4.33,5.0,0.67,2.9,L3 探索者
ENT-002,企业AC,科技,大型(>10000人),4.8,5.0,0.2,3.63,4.9,1.27,4.13,4.8,0.67,4.97,5.0,0.03,3.8,4.6,0.8,4.2,4.9,0.7,4.25,L5 领先者
ENT-003,企业AD,制造,小型(<1000人),2.53,4.0,1.47,2.6,3.4,0.8,3.07,4.2,1.13,2.4,4.1,1.7,3.97,4.8,0.83,3.37,4.4,1.03,2.95,L3 探索者
ENT-004,企业AE,科技,中型(1000-10000人),1.23,2.07,0.83,1.37,2.47,1.1,3.03,4.37,1.33,1.07,2.23,1.17,2.63,3.73,1.1,1.63,2.8,1.17,1.78,L1 观望者
ENT-005,企业AF,制造,中型(1000-10000人),2.07,3.57,1.5,2.2,3.73,1.53,3.4,4.87,1.47,1.53,2.57,1.03,2.27,3.43,1.17,2.37,3.5,1.13,2.29,L2 起步者
ENT-006,企业AG,医疗,大型(>10000人),3.47,4.6,1.13,2.1,3.2,1.1,1.93,2.7,0.77,2.47,4.1,1.63,3.03,4.7,1.67,3.27,4.57,1.3,2.72,L3 探索者
ENT-007,企业AH,零售,小型(<1000人),2.67,3.73,1.07,3.37,4.6,1.23,1.87,3.4,1.53,3.5,4.63,1.13,2.9,4.17,1.27,2.73,4.13,1.4,2.86,L3 探索者
ENT-008,企业AI,金融,大型(>10000人),4.1,4.87,0.77,2.7,3.97,1.27,3.6,4.63,1.03,3.2,4.67,1.47,2.9,4.1,1.2,2.57,3.2,0.63,3.2,L4 加速者
ENT-009,企业AJ,金融,中型(1000-10000人),5.0,5.0,0.0,4.37,5.0,0.63,5.0,5.0,0.0,4.97,5.0,0.03,4.13,5.0,0.87,4.67,5.0,0.33,4.69,L5 领先者
ENT-010,企业AK,制造,中型(1000-10000人),1.23,2.0,0.77,1.6,3.23,1.63,1.9,3.47,1.57,2.07,3.27,1.2,1.13,2.83,1.7,2.17,3.47,1.3,1.66,L1 观望者
ENT-011,企业AL,零售,大型(>10000人),2.1,2.97,0.87,1.23,2.27,1.03,1.73,3.53,1.8,1.73,2.93,1.2,3.17,4.03,0.87,2.0,3.27,1.27,1.96,L2 起步者
ENT-012,企业AM,金融,中型(1000-10000人),2.13,3.37,1.23,4.53,5.0,0.47,3.17,4.27,1.1,2.87,4.1,1.23,4.37,5.0,0.63,3.13,4.37,1.23,3.36,L4 加速者
ENT-013,企业AN,科技,大型(>10000人),5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,4.77,5.0,0.23,4.57,5.0,0.43,4.9,L5 领先者
ENT-014,企业AO,科技,大型(>10000人),2.63,4.17,1.53,4.4,5.0,0.6,3.9,4.97,1.07,4.6,5.0,0.4,4.0,5.0,1.0,2.9,4.03,1.13,3.72,L4 加速者
ENT-015,企业AP,制造,中型(1000-10000人),2.43,3.8,1.37,2.23,4.13,1.9,2.4,3.77,1.37,2.07,3.63,1.57,1.8,3.03,1.23,2.4,3.73,1.33,2.23,L2 起步者
ENT-016,企业AQ,金融,大型(>10000人),3.33,4.57,1.23,2.37,3.7,1.33,2.37,3.6,1.23,3.1,4.23,1.13,3.97,4.93,0.97,2.87,4.1,1.23,2.98,L3 探索者
ENT-017,企业AR,金融,大型(>10000人),1.17,2.37,1.2,1.23,2.47,1.23,3.03,4.43,1.4,1.37,2.47,1.1,1.83,2.97,1.13,1.0,2.2,1.2,1.56,L1 观望者
ENT-018,企业AS,能源,小型(<1000人),3.47,4.5,1.03,2.83,3.93,1.1,2.53,3.87,1.33,2.5,3.9,1.4,3.47,4.67,1.2,3.63,4.77,1.13,3.08,L3 探索者
ENT-019,企业AT,制造,中型(1000-10000人),1.47,2.83,1.37,1.0,2.1,1.1,1.27,2.77,1.5,1.03,2.4,1.37,1.4,3.03,1.63,1.0,2.17,1.17,1.2,L1 观望者
ENT-020,企业AU,医疗,中型(1000-10000人),1.1,2.6,1.5,1.67,3.3,1.63,1.37,2.43,1.07,1.4,2.77,1.37,1.4,2.53,1.13,1.0,2.1,1.1,1.33,L1 观望者
ENT-021,企业AV,金融,中型(1000-10000人),1.97,3.27,1.3,1.17,2.57,1.4,3.27,4.87,1.6,3.53,4.8,1.27,2.77,4.23,1.47,2.77,3.83,1.07,2.48,L2 起步者
ENT-022,企业AW,医疗,大型(>10000人),3.03,4.23,1.2,2.6,3.93,1.33,3.33,4.73,1.4,2.13,3.17,1.03,2.77,4.17,1.4,2.43,3.9,1.47,2.73,L3 探索者
ENT-023,企业AX,制造,大型(>10000人),3.0,4.57,1.57,3.2,4.07,0.87,2.33,3.37,1.03,2.77,3.67,0.9,3.8,4.63,0.83,2.3,3.57,1.27,2.92,L3 探索者
ENT-024,企业AY,制造,中型(1000-10000人),1.2,2.37,1.17,1.23,2.2,0.97,2.67,4.17,1.5,2.5,3.63,1.13,1.27,2.8,1.53,1.5,2.23,0.73,1.68,L1 观望者
ENT-025,企业AZ,医疗,大型(>10000人),3.17,4.57,1.4,2.87,4.3,1.43,1.8,3.13,1.33,3.33,4.27,0.93,2.8,3.97,1.17,1.97,3.4,1.43,2.69,L3 探索者
ENT-026,企业BA,零售,小型(<1000人),1.97,3.13,1.17,1.0,2.57,1.57,1.4,2.73,1.33,1.0,2.03,1.03,1.0,1.9,0.9,1.0,2.2,1.2,1.25,L1 观望者
ENT-027,企业BB,制造,中型(1000-10000人),2.23,3.9,1.67,2.7,3.97,1.27,2.2,3.47,1.27,2.43,3.6,1.17,3.47,4.67,1.2,2.43,3.57,1.13,2.57,L3 探索者
ENT-028,企业BC,制造,中型(1000-10000人),2.1,3.73,1.63,1.03,2.37,1.33,1.0,2.57,1.57,1.0,1.93,0.93,1.1,2.2,1.1,1.33,2.33,1.0,1.29,L1 观望者
ENT-029,企业BD,制造,大型(>10000人),3.4,4.67,1.27,3.2,4.33,1.13,3.73,4.63,0.9,3.03,4.2,1.17,2.0,3.5,1.5,2.73,3.93,1.2,3.04,L3 探索者
ENT-030,企业BE,医疗,中型(1000-10000人),3.27,4.23,0.97,1.63,2.97,1.33,2.8,4.27,1.47,2.93,4.0,1.07,3.57,4.6,1.03,2.33,3.4,1.07,2.72,L3 探索者
ENT-031,企业BF,零售,中型(1000-10000人),4.67,5.0,0.33,4.33,5.0,0.67,4.07,4.93,0.87,4.3,5.0,0.7,4.0,4.73,0.73,3.93,4.9,0.97,4.24,L5 领先者
ENT-032,企业BG,医疗,中型(1000-10000人),3.33,4.4,1.07,3.5,4.5,1.0,3.13,4.5,1.37,4.1,4.7,0.6,3.5,4.8,1.3,3.73,4.9,1.17,3.54,L4 加速者
ENT-033,企业BH,能源,小型(<1000人),1.47,2.77,1.3,2.4,3.93,1.53,2.57,3.77,1.2,2.3,3.53,1.23,3.17,3.77,0.6,2.03,3.1,1.07,2.28,L2 起步者
ENT-034,企业BI,零售,中型(1000-10000人),3.5,4.37,0.87,3.53,4.63,1.1,3.1,4.2,1.1,2.97,3.87,0.9,3.67,4.97,1.3,4.53,4.9,0.37,3.55,L4 加速者
ENT-035,企业BJ,科技,小型(<1000人),3.87,4.87,1.0,4.03,5.0,0.97,2.83,4.07,1.23,3.9,4.97,1.07,2.43,3.7,1.27,4.0,4.83,0.83,3.56,L4 加速者
ENT-036,企业BK,能源,大型(>10000人),1.5,2.6,1.1,2.4,3.3,0.9,1.63,2.93,1.3,2.07,3.47,1.4,2.07,3.1,1.03,2.0,3.6,1.6,1.95,L2 起步者
ENT-037,企业BL,科技,中型(1000-10000人),3.13,4.7,1.57,3.23,4.27,1.03,3.27,4.87,1.6,2.97,4.1,1.13,4.2,4.83,0.63,3.53,4.57,1.03,3.37,L4 加速者
ENT-038,企业BM,医疗,大型(>10000人),2.87,4.1,1.23,2.23,3.27,1.03,2.53,3.8,1.27,1.7,3.07,1.37,3.27,4.43,1.17,2.83,4.23,1.4,2.57,L3 探索者
ENT-039,企业BN,能源,中型(1000-10000人),2.47,3.53,1.07,1.03,2.17,1.13,1.0,2.1,1.1,2.27,3.37,1.1,2.2,3.07,0.87,2.27,3.67,1.4,1.86,L2 起步者
ENT-040,企业BO,能源,中型(1000-10000人),1.37,2.57,1.2,1.23,2.7,1.47,1.7,3.0,1.3,1.43,2.57,1.13,2.1,3.6,1.5,1.4,2.33,0.93,1.52,L1 观望者
ENT-041,企业BP,科技,小型(<1000人),3.8,4.67,0.87,4.23,5.0,0.77,3.83,4.93,1.1,3.9,5.0,1.1,4.13,4.87,0.73,4.43,4.97,0.53,4.05,L5 领先者
ENT-042,企业BQ,金融,中型(1000-10000人),3.17,4.67,1.5,4.07,4.63,0.57,3.33,4.63,1.3,3.97,4.87,0.9,4.13,5.0,0.87,3.43,4.6,1.17,3.68,L4 加速者
ENT-043,企业BR,金融,中型(1000-10000人),1.63,2.77,1.13,1.83,3.3,1.47,1.47,2.8,1.33,2.5,3.9,1.4,2.03,3.4,1.37,2.83,3.97,1.13,2.02,L2 起步者
ENT-044,企业BS,医疗,中型(1000-10000人),1.27,1.9,0.63,2.57,3.7,1.13,2.8,4.13,1.33,2.17,3.1,0.93,1.83,3.1,1.27,2.6,3.87,1.27,2.18,L2 起步者
ENT-045,企业BT,医疗,大型(>10000人),2.73,3.73,1.0,1.37,2.67,1.3,2.53,3.83,1.3,1.57,2.27,0.7,1.03,2.2,1.17,1.17,2.2,1.03,1.76,L1 观望者
ENT-046,企业BU,零售,小型(<1000人),1.87,3.23,1.37,1.0,2.37,1.37,1.67,2.67,1.0,1.83,2.9,1.07,1.0,2.67,1.67,1.43,2.9,1.47,1.46,L1 观望者
ENT-047,企业BV,金融,小型(<1000人),2.7,3.87,1.17,2.8,3.93,1.13,3.27,4.07,0.8,1.43,2.57,1.13,2.7,4.2,1.5,2.37,3.83,1.47,2.56,L3 探索者
ENT-048,企业BW,制造,小型(<1000人),2.73,4.4,1.67,2.3,3.27,0.97,2.43,3.5,1.07,3.2,4.27,1.07,2.93,4.4,1.47,1.8,3.23,1.43,2.56,L3 探索者
ENT-049,企业BX,医疗,中型(1000-10000人),1.0,2.47,1.47,1.0,2.27,1.27,1.13,2.33,1.2,1.0,2.6,1.6,1.03,2.63,1.6,1.0,2.33,1.33,1.03,L1 观望者
